season,game_id,game_date_et,away_team,home_team,matchup,source,possessions,fit_status,rows_before_exclusion,rows_excluded_score_margin,rows_excluded_intentional,rows_excluded_total,rows_used_in_model,fit_method,adjusted_mean_M_t_if_L_t_eq_1,adjusted_mean_M_t_if_L_t_eq_0,WMI_controlledgame,beta_L_t,irr_L_t,p_value_L_t,wmi_controlledgame_percentile
2020-21,0022000074,20210101,WAS,MIN,WAS @ MIN,data.nba.com mobile_teams v2015 play-by-play,207,ok,207,86,0,86,207,glm_poisson_log_raw_controls,0.1129042986080107,0.2570816247572031,0.4391768517669883,-0.8228530956243666,0.4391768517669883,0.037738495196295144,9.977164939399263
2020-21,0022000075,20210101,LAL,SAS,LAL @ SAS,data.nba.com mobile_teams v2015 play-by-play,200,ok,200,0,1,1,200,glm_poisson_log_raw_controls,0.14436921815020226,0.2371242366394842,0.6088336654076252,-0.4962101759878065,0.6088336654076252,0.18272320207270054,28.262778851220798
2020-21,0022000076,20210101,PHX,DEN,PHX @ DEN,data.nba.com mobile_teams v2015 play-by-play,184,ok,184,5,1,6,184,glm_poisson_log_raw_controls,0.2453588125030695,0.22789231905625418,1.0766436250205687,0.07384844742776424,1.0766436250205687,0.8200144646309695,82.43456876866327
2020-21,0022000077,20210101,LAC,UTA,LAC @ UTA,data.nba.com mobile_teams v2015 play-by-play,180,ok,180,52,1,53,180,glm_poisson_log_raw_controls,0.17802888085672613,0.2664411834968595,0.668173285076346,-0.40320773028921053,0.668173285076346,0.2575782981576856,36.88740558580713
2020-21,0022000078,20210101,POR,GSW,POR @ GSW,data.nba.com mobile_teams v2015 play-by-play,206,ok,206,131,0,131,206,glm_poisson_log_raw_controls,0.12930113460587708,0.33904675642742366,0.38136667629072357,-0.9639939617076433,0.38136667629072357,0.004855057411532173,5.972246618654488
2020-21,0022000079,20210102,SAC,HOU,SAC @ HOU,data.nba.com mobile_teams v2015 play-by-play,192,ok,192,0,0,0,192,glm_poisson_log_raw_controls,0.21483795560441976,0.2978083075518743,0.7213967849671143,-0.3265659671803583,0.7213967849671143,0.28690204514435735,44.28245213419989
2020-21,0022000080,20210102,NYK,IND,NYK @ IND,data.nba.com mobile_teams v2015 play-by-play,185,ok,185,0,2,2,185,glm_poisson_log_raw_controls,0.21224302070412263,0.20202108641745656,1.050598353211226,0.049359862061934316,1.050598353211226,0.8896774788014351,80.59019848937291
2020-21,0022000081,20210102,OKC,ORL,OKC @ ORL,data.nba.com mobile_teams v2015 play-by-play,199,ok,199,0,2,2,199,glm_poisson_log_raw_controls,0.135172983999609,0.21900238668603467,0.617221510893373,-0.48252730671327276,0.617221510893373,0.22418008590751493,29.580186193571052
2020-21,0022000082,20210102,CHA,PHI,CHA @ PHI,data.nba.com mobile_teams v2015 play-by-play,206,ok,206,52,0,52,206,glm_poisson_log_raw_controls,0.18495627003671306,0.24315999151645115,0.7606361099260021,-0.27360020903509935,0.7606361099260021,0.4083961215365989,49.639908659757594
2020-21,0022000083,20210102,CLE,ATL,CLE @ ATL,data.nba.com mobile_teams v2015 play-by-play,190,ok,190,1,3,4,190,glm_poisson_log_raw_controls,0.2966911910075721,0.2302311797331144,1.2886664236855256,0.25360790356565194,1.2886664236855256,0.39335753525325245,92.20094853328649
2020-21,0022000084,20210102,TOR,NOP,TOR @ NOP,data.nba.com mobile_teams v2015 play-by-play,199,ok,199,0,2,2,199,glm_poisson_log_raw_controls,0.25219208371577523,0.2952626278678381,0.85412801998314,-0.15767419012495165,0.85412801998314,0.5956245531893829,61.689794484454595
2020-21,0022000085,20210103,BOS,DET,BOS @ DET,data.nba.com mobile_teams v2015 play-by-play,189,ok,189,0,0,0,189,glm_poisson_log_raw_controls,0.12927480681343878,0.25079401495638887,0.5154620888218514,-0.6626915207671381,0.5154620888218514,0.08074216341758922,17.02090286316529
2020-21,0022000086,20210103,WAS,BKN,WAS @ BKN,data.nba.com mobile_teams v2015 play-by-play,216,ok,216,0,0,0,216,glm_poisson_log_raw_controls,0.12585213079245788,0.27830331715628803,0.452212111872826,-0.7936039351696149,0.452212111872826,0.026307135130497008,10.890567363428772
2020-21,0022000087,20210103,LAL,MEM,LAL @ MEM,data.nba.com mobile_teams v2015 play-by-play,189,ok,189,2,0,2,189,glm_poisson_log_raw_controls,0.2495255866817151,0.1939699787267721,1.2864134353141274,0.2518580635065947,1.2864134353141274,0.4533472572082695,92.13068680836115
2020-21,0022000088,20210103,DEN,MIN,DEN @ MIN,data.nba.com mobile_teams v2015 play-by-play,193,ok,193,22,0,22,193,glm_poisson_log_raw_controls,0.038577525563219826,0.17002424032657154,0.2268942680709681,-1.4832711494327133,0.2268942680709681,0.04532817103310774,0.8255752678728263
2020-21,0022000089,20210103,UTA,SAS,UTA @ SAS,data.nba.com mobile_teams v2015 play-by-play,211,ok,211,109,0,109,211,glm_poisson_log_raw_controls,0.11883269536332713,0.22918269279856,0.5185064103761756,-0.6568028880790946,0.5185064103761756,0.09162741494980853,17.28438433163534
