season,as_of_utc_date,game_id,game_date_et,game_status,game_status_text,away_team,home_team,matchup,possessions,rows_before_exclusion,rows_excluded_score_margin,rows_excluded_intentional,rows_excluded_total,rows_used_in_model,adjusted_mean_M_t_if_L_t_eq_1,adjusted_mean_M_t_if_L_t_eq_0,WMI_controlledgame,beta_L_t,irr_L_t,p_value_L_t,fit_status,wmi_controlledgame_z_score
2025-26,2026-03-24,0022500066,2025-11-26T22:00:00-05:00,3,Final,HOU,GSW,HOU @ GSW,180,180,0,3,3,177,0.21419597692801,0.32257417555834955,0.6640208459256054,-0.40944173553222607,0.6640208459256053,0.18821763332494024,ok,-0.21936320187123703
2025-26,2026-03-24,0022500067,2025-11-26T22:00:00-05:00,3,Final,SAS,POR,SAS @ POR,203,203,0,0,0,203,0.20967544020737383,0.28415462097544375,0.7378920655507963,-0.3039577177188224,0.7378920655507963,0.3162053487755362,ok,-0.059661520753849805
2025-26,2026-03-24,0022500068,2025-11-26T22:00:00-05:00,3,Final,PHX,SAC,PHX @ SAC,192,192,114,0,114,78,0.11877575129460488,0.16350142565536802,0.7264508600980831,-0.31958443749125526,0.7264508600980829,0.6855368072535462,ok,-0.08439618405138967
2025-26,2026-03-24,0022500069,2025-11-28T19:30:00-05:00,3,Final,CLE,ATL,CLE @ ATL,212,212,0,1,1,211,0.10644431565292656,0.18754142929818368,0.5675776069920219,-0.5663777865674886,0.5675776069920218,0.21238869253846693,ok,-0.427863176127068
2025-26,2026-03-24,0022500070,2025-11-28T19:30:00-05:00,3,Final,PHI,BKN,PHI @ BKN,196,196,65,0,65,131,0.2151628989991519,0.16249179525756122,1.3241462355567133,0.28076790123193357,1.3241462355567137,0.5384277734992611,ok,1.207757333125422
2025-26,2026-03-24,0022500071,2025-11-28T19:30:00-05:00,3,Final,CHI,CHA,CHI @ CHA,213,213,0,1,1,212,0.15678884924901462,0.202401897773654,0.7746412013604317,-0.25535532281717055,0.7746412013604318,0.48628447097711236,ok,0.019786182941684934
2025-26,2026-03-24,0022500072,2025-11-28T19:30:00-05:00,3,Final,ORL,DET,ORL @ DET,207,207,0,1,1,206,0.31994422347993523,0.2815549144914107,1.1363475010119053,0.12781917229955334,1.1363475010119053,0.6270752975808966,ok,0.8017565418741532
2025-26,2026-03-24,0022500073,2025-11-28T19:30:00-05:00,3,Final,WAS,IND,WAS @ IND,200,200,82,0,82,118,0.2915312969128144,0.15531964008852525,1.8769763871887326,0.6296621774446519,1.8769763871887326,0.14666454087519426,ok,2.402917031800633
2025-26,2026-03-24,0022500074,2025-11-28T19:30:00-05:00,3,Final,MIL,NYK,MIL @ NYK,185,185,0,1,1,184,0.13795304074171363,0.3740550731843257,0.36880408964199124,-0.9974896983102292,0.3688040896419912,0.003941973878816817,ok,-0.8575902747655044
2025-26,2026-03-24,0022500075,2025-11-28T21:30:00-05:00,3,Final,PHX,OKC,PHX @ OKC,211,211,3,2,5,206,0.18684642596115605,0.27465787784195345,0.68028788188873,-0.38523921468301164,0.68028788188873,0.22281109090655882,ok,-0.18419560881823033
2025-26,2026-03-24,0022500076,2025-11-28T21:30:00-05:00,3,Final,SAS,DEN,SAS @ DEN,201,201,10,3,13,188,0.264035616091694,0.284384667700046,0.9284453280378143,-0.07424378195011647,0.9284453280378142,0.8023963445533957,ok,0.35229426549124393
2025-26,2026-03-24,0022500077,2025-11-28T21:30:00-05:00,3,Final,SAC,UTA,SAC @ UTA,206,206,14,3,17,189,0.1512956923392525,0.2917442275888577,0.5185901828791857,-0.6566413361007408,0.5185901828791857,0.06494334303885387,ok,-0.533768751046837
2025-26,2026-03-24,0022500078,2025-11-28T22:00:00-05:00,3,Final,DAL,LAL,DAL @ LAL,188,188,0,0,0,188,0.3130497872256938,0.24810198137747216,1.2617786665290975,0.23252236563863538,1.2617786665290975,0.4300009837387522,ok,1.0729253150343279
2025-26,2026-03-24,0022500079,2025-11-28T22:00:00-05:00,3,Final,MEM,LAC,MEM @ LAC,196,196,16,2,18,178,0.07708547782491473,0.23864884521983426,0.3230079649197821,-1.1300782968691414,0.3230079649197822,0.022226379577300302,ok,-0.95659660150421
2025-26,2026-03-24,0022500080,2025-10-22T19:00:00-04:00,3,Final,BKN,CHA,BKN @ CHA,211,211,90,0,90,121,0.4262265714248433,0.381590614006507,1.1169734154351478,0.11062271983530633,1.116973415435148,0.712293721630002,ok,0.759871839652922
2025-26,2026-03-24,0022500081,2025-10-22T19:00:00-04:00,3,Final,MIA,ORL,MIA @ ORL,219,219,0,1,1,218,0.17383863158300242,0.2909820123958278,0.5974205420867278,-0.5151339879748887,0.5974205420867278,0.10067360641791144,ok,-0.3633459402091658
2025-26,2026-03-24,0022500082,2025-10-22T19:30:00-04:00,3,Final,TOR,ATL,TOR @ ATL,224,224,63,0,63,161,0.27072965742307115,0.23552397656626994,1.1494781184067486,0.13930802929111197,1.1494781184067486,0.6733340106019651,ok,0.830143533218081
2025-26,2026-03-24,0022500083,2025-10-22T19:30:00-04:00,3,Final,PHI,BOS,PHI @ BOS,199,199,0,3,3,196,0.2793492527799048,0.29068171994528386,0.9610141732768328,-0.03976612165355451,0.9610141732768328,0.8879942517186689,ok,0.4227046277827251
2025-26,2026-03-24,0022500084,2025-10-22T20:00:00-04:00,3,Final,DET,CHI,DET @ CHI,210,210,105,2,107,103,0.17322516684954758,0.2427975659075101,0.7134551213562618,-0.3376357433339423,0.7134551213562618,0.5169782550982903,ok,-0.11249158216396504
2025-26,2026-03-24,0022500085,2025-10-22T20:00:00-04:00,3,Final,NOP,MEM,NOP @ MEM,216,216,3,3,6,210,0.3063939456263746,0.3446064657073932,0.8891125852714993,-0.11753140888661773,0.8891125852714994,0.6368411773530938,ok,0.2672610797037414
2025-26,2026-03-24,0022500086,2025-10-22T20:00:00-04:00,3,Final,WAS,MIL,WAS @ MIL,214,214,104,0,104,110,0.4979733585229243,0.1713646335512702,2.905928418269203,1.066752932452831,2.9059284182692036,0.004575082026230183,ok,4.62740134364032
2025-26,2026-03-24,0022500087,2025-10-22T21:00:00-04:00,3,Final,LAC,UTA,LAC @ UTA,189,189,153,0,153,36,1.8623954786407545e-10,0.2494956799232335,7.464640186209993e-10,-21.015673700216794,7.464640186209988e-10,0.9986957004094029,ok,-1.6549052953976657
2025-26,2026-03-24,0022500088,2025-10-22T22:00:00-04:00,3,Final,SAC,PHX,SAC @ PHX,201,201,50,3,53,148,0.15341068043330255,0.30223674943232864,0.5075844705233354,-0.678092137535567,0.5075844705233356,0.0909023140251382,ok,-0.557561924816562
2025-26,2026-03-24,0022500089,2025-10-22T22:00:00-04:00,3,Final,MIN,POR,MIN @ POR,206,206,0,0,0,206,0.3347461717589883,0.2457114325778164,1.362354890234807,0.3092147393035015,1.362354890234807,0.25444969676888984,ok,1.2903603606141472
