season,game_id,game_date_et,away_team,home_team,matchup,source,possessions,n1_count_L_t_eq_1,n0_count_L_t_eq_0,mean_M_t_where_L_t_eq_1,mean_M_t_where_L_t_eq_0,WMI,as_of_utc_date,game_status,game_status_text,wmi_percentile
2020-21,22000116,20210106,LAC,GSW,LAC @ GSW,data.nba.com mobile_teams v2015 play-by-play,196,67,129,0.1940298507462686,0.2635658914728682,0.7361720807726075,,,,30.489073881373567
2020-21,22000117,20210106,CHI,SAC,CHI @ SAC,data.nba.com mobile_teams v2015 play-by-play,197,65,132,0.2,0.25,0.8,,,,37.683960160547045
2020-21,22000118,20210107,PHI,BKN,PHI @ BKN,data.nba.com mobile_teams v2015 play-by-play,220,62,158,0.2258064516129032,0.189873417721519,1.189247311827957,,,,75.50170952876468
2020-21,22000119,20210107,CLE,MEM,CLE @ MEM,data.nba.com mobile_teams v2015 play-by-play,186,52,134,0.0576923076923076,0.208955223880597,0.2760989010989011,,,,0.8770625836182547
2020-21,22000120,20210107,DAL,DEN,DAL @ DEN,data.nba.com mobile_teams v2015 play-by-play,215,80,135,0.2125,0.2962962962962963,0.7171875,,,,28.058569942024675
2020-21,22000121,20210107,SAS,LAL,SAS @ LAL,data.nba.com mobile_teams v2015 play-by-play,197,55,142,0.2363636363636363,0.1901408450704225,1.243097643097643,,,,79.47078935632526
2020-21,22000122,20210107,MIN,POR,MIN @ POR,data.nba.com mobile_teams v2015 play-by-play,214,69,145,0.1014492753623188,0.2551724137931034,0.3975714845280063,,,,3.537981269510926
2020-21,22000123,20210108,PHX,DET,PHX @ DET,data.nba.com mobile_teams v2015 play-by-play,217,56,161,0.0892857142857142,0.186335403726708,0.4791666666666667,,,,7.388137356919875
2020-21,22000124,20210108,WAS,BOS,WAS @ BOS,data.nba.com mobile_teams v2015 play-by-play,209,70,139,0.1142857142857142,0.2517985611510791,0.4538775510204081,,,,6.169169020365691
2020-21,22000125,20210108,OKC,NYK,OKC @ NYK,data.nba.com mobile_teams v2015 play-by-play,190,58,132,0.3103448275862069,0.2045454545454545,1.5172413793103448,,,,91.83885833209456
2020-21,22000126,20210108,CHA,NOP,CHA @ NOP,data.nba.com mobile_teams v2015 play-by-play,192,65,127,0.2153846153846154,0.2440944881889764,0.8823821339950372,,,,46.870819087260294
2020-21,22000127,20210108,ORL,HOU,ORL @ HOU,data.nba.com mobile_teams v2015 play-by-play,193,49,144,0.1836734693877551,0.1805555555555555,1.0172684458398744,,,,61.52817006094842
2020-21,22000128,20210108,BKN,MEM,BKN @ MEM,data.nba.com mobile_teams v2015 play-by-play,204,50,154,0.3,0.1623376623376623,1.848,,,,97.5769287944106
2020-21,22000129,20210108,UTA,MIL,UTA @ MIL,data.nba.com mobile_teams v2015 play-by-play,206,59,147,0.1016949152542373,0.2108843537414966,0.4822307271733188,,,,7.625984837223131
2020-21,22000130,20210108,LAC,GSW,LAC @ GSW,data.nba.com mobile_teams v2015 play-by-play,191,55,136,0.1818181818181818,0.1911764705882352,0.9510489510489512,,,,54.526534859521334
2020-21,22000131,20210108,CHI,LAL,CHI @ LAL,data.nba.com mobile_teams v2015 play-by-play,193,60,133,0.1833333333333333,0.2180451127819548,0.8408045977011495,,,,42.38144789653634
2020-21,22000132,20210108,TOR,SAC,TOR @ SAC,data.nba.com mobile_teams v2015 play-by-play,199,64,135,0.109375,0.2518518518518518,0.4342830882352941,,,,5.262375501709529
2020-21,22000133,20210109,DEN,PHI,DEN @ PHI,data.nba.com mobile_teams v2015 play-by-play,195,50,145,0.16,0.193103448275862,0.8285714285714286,,,,40.880035677122045
2020-21,22000134,20210109,ATL,CHA,ATL @ CHA,data.nba.com mobile_teams v2015 play-by-play,191,66,125,0.1969696969696969,0.272,0.7241532976827094,,,,28.95793072692136
2020-21,22000135,20210109,PHX,IND,PHX @ IND,data.nba.com mobile_teams v2015 play-by-play,196,59,137,0.135593220338983,0.2262773722627737,0.5992345544013122,,,,15.47495168723056
2020-21,22000136,20210109,MIA,WAS,MIA @ WAS,data.nba.com mobile_teams v2015 play-by-play,219,68,151,0.1176470588235294,0.2317880794701986,0.507563025210084,,,,9.201724394232198
2020-21,22000137,20210109,CLE,MIL,CLE @ MIL,data.nba.com mobile_teams v2015 play-by-play,187,53,134,0.2452830188679245,0.2014925373134328,1.217330538085255,,,,77.76126059164561
2020-21,22000138,20210109,SAS,MIN,SAS @ MIN,data.nba.com mobile_teams v2015 play-by-play,214,65,149,0.2615384615384615,0.2080536912751678,1.257071960297767,,,,80.33298647242457
2020-21,22000139,20210109,ORL,DAL,ORL @ DAL,data.nba.com mobile_teams v2015 play-by-play,197,52,145,0.1538461538461538,0.1793103448275862,0.8579881656804734,,,,44.37342054407611
2020-21,22000140,20210109,POR,SAC,POR @ SAC,data.nba.com mobile_teams v2015 play-by-play,212,74,138,0.2162162162162162,0.2681159420289855,0.8064280496712929,,,,38.44209900401368
