season,season_start_year,season_type,game_id,game_date_et,away_team,home_team,matchup,away_score,home_score,series,possessions,n1_count_L_t_eq_1,n0_count_L_t_eq_0,mean_M_t_where_L_t_eq_1,mean_M_t_where_L_t_eq_0,WMI,source,wmi_percentile
2019-20,2019,Regular Season,0021900078,2019-11-02,BKN,DET,BKN @ DET,109,113,,202,64,138,0.28125,0.2391304347826087,1.1761363636363635,data.nba.com mobile_teams v2015 play-by-play,75.4326923076923
2019-20,2019,Regular Season,0021900079,2019-11-02,DEN,ORL,DEN @ ORL,91,87,,186,61,125,0.21311475409836064,0.24,0.8879781420765027,data.nba.com mobile_teams v2015 play-by-play,47.5
2019-20,2019,Regular Season,0021900080,2019-11-02,MIN,WAS,MIN @ WAS,131,109,,230,60,170,0.21666666666666667,0.17647058823529413,1.2277777777777776,data.nba.com mobile_teams v2015 play-by-play,79.35096153846153
2019-20,2019,Regular Season,0021900081,2019-11-02,PHX,MEM,PHX @ MEM,114,105,,202,56,146,0.14285714285714285,0.1917808219178082,0.7448979591836735,data.nba.com mobile_teams v2015 play-by-play,31.35817307692308
2019-20,2019,Regular Season,0021900082,2019-11-02,TOR,MIL,TOR @ MIL,105,115,,200,62,138,0.20967741935483872,0.2463768115942029,0.8510436432637571,data.nba.com mobile_teams v2015 play-by-play,43.53365384615385
2019-20,2019,Regular Season,0021900083,2019-11-02,CHA,GSW,CHA @ GSW,93,87,,182,53,129,0.11320754716981132,0.20930232558139536,0.5408805031446541,data.nba.com mobile_teams v2015 play-by-play,11.045673076923077
2019-20,2019,Regular Season,0021900084,2019-11-02,PHI,POR,PHI @ POR,129,128,,210,61,149,0.19672131147540983,0.21476510067114093,0.9159836065573771,data.nba.com mobile_teams v2015 play-by-play,50.84134615384615
2019-20,2019,Regular Season,0021900085,2019-11-03,CHI,IND,CHI @ IND,95,108,,207,72,135,0.16666666666666666,0.25925925925925924,0.6428571428571429,data.nba.com mobile_teams v2015 play-by-play,19.651442307692307
2019-20,2019,Regular Season,0021900086,2019-11-03,HOU,MIA,HOU @ MIA,100,129,,216,75,141,0.16,0.2695035460992908,0.5936842105263158,data.nba.com mobile_teams v2015 play-by-play,14.915865384615385
2019-20,2019,Regular Season,0021900087,2019-11-03,SAC,NYK,SAC @ NYK,113,92,,192,67,125,0.31343283582089554,0.272,1.1523266022827041,data.nba.com mobile_teams v2015 play-by-play,73.89423076923077
2019-20,2019,Regular Season,0021900088,2019-11-03,LAL,SAS,LAL @ SAS,103,96,,208,66,142,0.18181818181818182,0.2323943661971831,0.7823691460055097,data.nba.com mobile_teams v2015 play-by-play,35.67307692307693
2019-20,2019,Regular Season,0021900089,2019-11-03,DAL,CLE,DAL @ CLE,131,111,,197,56,141,0.2857142857142857,0.19148936170212766,1.492063492063492,data.nba.com mobile_teams v2015 play-by-play,91.39423076923077
2019-20,2019,Regular Season,0021900090,2019-11-03,UTA,LAC,UTA @ LAC,94,105,,192,83,109,0.4819277108433735,0.30275229357798167,1.5918218327856881,data.nba.com mobile_teams v2015 play-by-play,93.8701923076923
2019-20,2019,Regular Season,0021900091,2019-11-04,DET,WAS,DET @ WAS,99,115,,197,65,132,0.23076923076923078,0.25,0.9230769230769231,data.nba.com mobile_teams v2015 play-by-play,51.71875
2019-20,2019,Regular Season,0021900092,2019-11-04,NOP,BKN,NOP @ BKN,125,135,,222,77,145,0.15584415584415584,0.2620689655172414,0.5946684894053315,data.nba.com mobile_teams v2015 play-by-play,14.951923076923077
2019-20,2019,Regular Season,0021900093,2019-11-04,HOU,MEM,HOU @ MEM,107,100,,207,66,141,0.12121212121212122,0.2553191489361702,0.4747474747474748,data.nba.com mobile_teams v2015 play-by-play,6.5985576923076925
2019-20,2019,Regular Season,0021900094,2019-11-04,MIL,MIN,MIL @ MIN,134,106,,221,69,152,0.17391304347826086,0.23026315789473684,0.7552795031055901,data.nba.com mobile_teams v2015 play-by-play,32.62019230769231
2019-20,2019,Regular Season,0021900095,2019-11-04,PHI,PHX,PHI @ PHX,109,114,,210,69,141,0.2898550724637681,0.22695035460992907,1.2771739130434783,data.nba.com mobile_teams v2015 play-by-play,82.23557692307692
2019-20,2019,Regular Season,0021900096,2019-11-04,POR,GSW,POR @ GSW,118,127,,198,69,129,0.2753623188405797,0.2248062015503876,1.224887556221889,data.nba.com mobile_teams v2015 play-by-play,79.14663461538461
2019-20,2019,Regular Season,0021900097,2019-11-05,IND,CHA,IND @ CHA,120,122,,212,75,137,0.24,0.27007299270072993,0.8886486486486486,data.nba.com mobile_teams v2015 play-by-play,47.59615384615385
2019-20,2019,Regular Season,0021900098,2019-11-05,BOS,CLE,BOS @ CLE,119,113,,205,65,140,0.16923076923076924,0.22857142857142856,0.7403846153846154,data.nba.com mobile_teams v2015 play-by-play,30.829326923076923
