season,as_of_utc_date,game_id,game_date_et,game_status,game_status_text,away_team,home_team,matchup,possessions,n1_count_L_t_eq_1,n0_count_L_t_eq_0,mean_M_t_where_L_t_eq_1,mean_M_t_where_L_t_eq_0,WMI_rawgame,wmi_rawgame_z_score
2025-26,2026-03-23,0022500103,2025-10-25T20:00:00-04:00,3,Final,IND,MEM,IND @ MEM,201,70,131,0.2857142857142857,0.25190839694656486,1.1341991341991342,0.556676963337512
2025-26,2026-03-23,0022500104,2025-10-25T21:00:00-04:00,3,Final,PHX,DEN,PHX @ DEN,211,83,128,0.26506024096385544,0.3359375,0.7890165312412442,-0.4053098528696302
2025-26,2026-03-23,0022500105,2025-10-26T14:00:00-04:00,3,Final,BKN,SAS,BKN @ SAS,188,91,97,0.27472527472527475,0.44329896907216493,0.6197291081012012,-0.8770957071244814
2025-26,2026-03-23,0022500106,2025-10-26T15:30:00-04:00,3,Final,BOS,DET,BOS @ DET,198,81,117,0.2839506172839506,0.3418803418803419,0.8305555555555555,-0.2895450564805426
2025-26,2026-03-23,0022500107,2025-10-26T18:00:00-04:00,3,Final,MIL,CLE,MIL @ CLE,207,77,130,0.18181818181818182,0.3,0.6060606060606061,-0.9151883532998073
2025-26,2026-03-23,0022500108,2025-10-26T18:00:00-04:00,3,Final,NYK,MIA,NYK @ MIA,207,67,140,0.13432835820895522,0.2357142857142857,0.5698778833107191,-1.0160257128932622
2025-26,2026-03-23,0022500109,2025-10-26T18:00:00-04:00,3,Final,CHA,WAS,CHA @ WAS,217,76,141,0.2631578947368421,0.24822695035460993,1.0601503759398496,0.3503110324025988
2025-26,2026-03-23,0022500110,2025-10-26T19:00:00-04:00,3,Final,IND,MIN,IND @ MIN,203,82,121,0.23170731707317074,0.33884297520661155,0.6838191552647235,-0.6984836337085921
2025-26,2026-03-23,0022500111,2025-10-26T19:30:00-04:00,3,Final,TOR,DAL,TOR @ DAL,219,78,141,0.2692307692307692,0.2978723404255319,0.9038461538461539,-0.08529203589569453
2025-26,2026-03-23,0022500112,2025-10-26T21:00:00-04:00,3,Final,POR,LAC,POR @ LAC,202,72,130,0.19444444444444445,0.2846153846153846,0.6831831831831833,-0.7002560195492311
2025-26,2026-03-23,0022500113,2025-10-26T21:00:00-04:00,3,Final,LAL,SAC,LAL @ SAC,214,64,150,0.28125,0.20666666666666667,1.3608870967741935,1.188431951918638
2025-26,2026-03-23,0022500114,2025-10-27T19:00:00-04:00,3,Final,ORL,PHI,ORL @ PHI,196,81,115,0.35802469135802467,0.30434782608695654,1.1763668430335095,0.6741938359166295
2025-26,2026-03-23,0022500115,2025-10-27T20:00:00-04:00,3,Final,ATL,CHI,ATL @ CHI,210,62,148,0.14516129032258066,0.20945945945945946,0.6930280957336109,-0.6728193063456431
2025-26,2026-03-23,0022500116,2025-10-27T20:00:00-04:00,3,Final,BKN,HOU,BKN @ HOU,184,67,117,0.31343283582089554,0.24786324786324787,1.2645393721049922,0.919921198163663
2025-26,2026-03-23,0022500117,2025-10-27T20:00:00-04:00,3,Final,BOS,NOP,BOS @ NOP,187,63,124,0.36507936507936506,0.22580645161290322,1.6167800453514738,1.9015780977043988
2025-26,2026-03-23,0022500118,2025-10-27T20:00:00-04:00,3,Final,TOR,SAS,TOR @ SAS,197,64,133,0.265625,0.24060150375939848,1.10400390625,0.47252610825232655
2025-26,2026-03-23,0022500119,2025-10-27T20:30:00-04:00,3,Final,OKC,DAL,OKC @ DAL,194,60,134,0.11666666666666667,0.23134328358208955,0.5043010752688172,-1.198781229088706
2025-26,2026-03-23,0022500120,2025-10-27T21:00:00-04:00,3,Final,PHX,UTA,PHX @ UTA,226,94,132,0.32978723404255317,0.32575757575757575,1.012370113805047,0.21715257698006757
